tolerance,official_over_pc,lm_over_pc,lm_over_pc_ci_low,lm_over_pc_ci_high,max_actual_residual,max_consumer_tv
1e-4,1.2704509003099647,1.558105428145159,1.5567675609308278,1.5594721335503516,9.670468716649339e-05,3.612946461619207e-05
3e-4,1.2617059413790868,1.6375813843137275,1.636362620955014,1.638802413006695,2.9345578514039516e-04,1.2043774345305014e-04
1e-3,1.2581585677608922,1.5712639376728164,1.570087055714038,1.5725705460553958,9.670850122347474e-04,5.011131684748878e-04
3e-3,1.249869673435288,1.480063184002053,1.4784509433087505,1.481624046928044,2.7536151465028524e-03,1.5162388486404596e-03
1e-2,1.267417054008335,0.9994854843028406,0.9986599307035045,1.0003198573357677,9.477854706346989e-03,4.875569053268469e-03
