arm,label,seed,gpu,repeat,candidate_index,production_release_ell_s
la,LA,1884470933,0,0,0,28.0
la,LA,1884470933,0,0,1,24.0
la,LA,1884470933,0,0,2,20.0
la,LA,1884470933,0,0,3,12.0
la,LA,1884470933,0,0,4,12.0
la,LA,1884470933,0,0,5,12.0
la,LA,1884470933,0,0,6,16.0
la,LA,1884470933,0,0,7,32.0
la,LA,1884470933,0,1,0,28.0
la,LA,1884470933,0,1,1,24.0
la,LA,1884470933,0,1,2,20.0
la,LA,1884470933,0,1,3,12.0
la,LA,1884470933,0,1,4,12.0
la,LA,1884470933,0,1,5,12.0
la,LA,1884470933,0,1,6,16.0
la,LA,1884470933,0,1,7,32.0
la,LA,1884470933,0,2,0,28.0
la,LA,1884470933,0,2,1,24.0
la,LA,1884470933,0,2,2,20.0
la,LA,1884470933,0,2,3,12.0
la,LA,1884470933,0,2,4,12.0
la,LA,1884470933,0,2,5,12.0
la,LA,1884470933,0,2,6,16.0
la,LA,1884470933,0,2,7,32.0
la,LA,1884470933,1,0,0,28.0
la,LA,1884470933,1,0,1,24.0
la,LA,1884470933,1,0,2,20.0
la,LA,1884470933,1,0,3,12.0
la,LA,1884470933,1,0,4,12.0
la,LA,1884470933,1,0,5,12.0
la,LA,1884470933,1,0,6,16.0
la,LA,1884470933,1,0,7,32.0
la,LA,1884470933,1,1,0,28.0
la,LA,1884470933,1,1,1,24.0
la,LA,1884470933,1,1,2,20.0
la,LA,1884470933,1,1,3,12.0
la,LA,1884470933,1,1,4,12.0
la,LA,1884470933,1,1,5,12.0
la,LA,1884470933,1,1,6,16.0
la,LA,1884470933,1,1,7,32.0
la,LA,1884470933,1,2,0,28.0
la,LA,1884470933,1,2,1,24.0
la,LA,1884470933,1,2,2,20.0
la,LA,1884470933,1,2,3,12.0
la,LA,1884470933,1,2,4,12.0
la,LA,1884470933,1,2,5,12.0
la,LA,1884470933,1,2,6,16.0
la,LA,1884470933,1,2,7,32.0
la,LA,1884470933,2,0,0,28.0
la,LA,1884470933,2,0,1,24.0
la,LA,1884470933,2,0,2,20.0
la,LA,1884470933,2,0,3,12.0
la,LA,1884470933,2,0,4,12.0
la,LA,1884470933,2,0,5,12.0
la,LA,1884470933,2,0,6,16.0
la,LA,1884470933,2,0,7,32.0
la,LA,1884470933,2,1,0,28.0
la,LA,1884470933,2,1,1,24.0
la,LA,1884470933,2,1,2,20.0
la,LA,1884470933,2,1,3,12.0
la,LA,1884470933,2,1,4,12.0
la,LA,1884470933,2,1,5,12.0
la,LA,1884470933,2,1,6,16.0
la,LA,1884470933,2,1,7,32.0
la,LA,1884470933,2,2,0,28.0
la,LA,1884470933,2,2,1,24.0
la,LA,1884470933,2,2,2,20.0
la,LA,1884470933,2,2,3,12.0
la,LA,1884470933,2,2,4,12.0
la,LA,1884470933,2,2,5,12.0
la,LA,1884470933,2,2,6,16.0
la,LA,1884470933,2,2,7,32.0
la,LA,1884470933,3,0,0,28.0
la,LA,1884470933,3,0,1,24.0
la,LA,1884470933,3,0,2,20.0
la,LA,1884470933,3,0,3,12.0
la,LA,1884470933,3,0,4,12.0
la,LA,1884470933,3,0,5,12.0
la,LA,1884470933,3,0,6,16.0
la,LA,1884470933,3,0,7,32.0
la,LA,1884470933,3,1,0,28.0
la,LA,1884470933,3,1,1,24.0
la,LA,1884470933,3,1,2,20.0
la,LA,1884470933,3,1,3,12.0
la,LA,1884470933,3,1,4,12.0
la,LA,1884470933,3,1,5,12.0
la,LA,1884470933,3,1,6,16.0
la,LA,1884470933,3,1,7,32.0
la,LA,1884470933,3,2,0,28.0
la,LA,1884470933,3,2,1,24.0
la,LA,1884470933,3,2,2,20.0
la,LA,1884470933,3,2,3,12.0
la,LA,1884470933,3,2,4,12.0
la,LA,1884470933,3,2,5,12.0
la,LA,1884470933,3,2,6,16.0
la,LA,1884470933,3,2,7,32.0
la,LA,55048408,0,0,0,28.0
la,LA,55048408,0,0,1,24.0
la,LA,55048408,0,0,2,20.0
