arm,label,seed,gpu,repeat,gpu_energy_joules,endpoint_wall_seconds,joules_per_window_second
official,Official,1884470933,0,0,11529.671,44.97854380682111,256.33713375690695
official,Official,1884470933,0,1,11592.822,45.03984823077917,257.39034333774106
official,Official,1884470933,0,2,11831.2,45.15213507041335,262.0296909891329
official,Official,1884470933,1,0,10900.913,45.210044734179974,241.11705847879034
official,Official,1884470933,1,1,10903.276,45.19042367488146,241.27403802280463
official,Official,1884470933,1,2,11015.572,45.17531295120716,243.8405244009637
official,Official,1884470933,2,0,11873.193,45.21972877904773,262.566656647029
official,Official,1884470933,2,1,11933.748,45.252002131193876,263.7175691232814
official,Official,1884470933,2,2,12041.461,45.342940744012594,265.56418270224435
official,Official,1884470933,3,0,11480.701,45.295753903687,253.46086576705568
official,Official,1884470933,3,1,11507.947,45.30880173295736,253.98921533670102
official,Official,1884470933,3,2,11726.342,45.306265875697136,258.8238464006843
official,Official,55048408,0,0,12039.663,45.064195066690445,267.1669377913556
official,Official,55048408,0,1,11840.808,45.10955381765962,262.49002700985545
official,Official,55048408,0,2,11743.17,45.075655587017536,260.5213356759743
official,Official,55048408,1,0,11296.346,45.1362911015749,250.27191477870113
official,Official,55048408,1,1,11103.404,45.13527361303568,246.00280692201648
official,Official,55048408,1,2,10884.235,45.17097067832947,240.95641153050656
official,Official,55048408,2,0,12412.639,45.20338337495923,274.5953526761025
official,Official,55048408,2,1,12216.903,45.22326346486807,270.1464260643367
official,Official,55048408,2,2,11937.346,45.3073601052165,263.4747637531321
official,Official,55048408,3,0,12052.084,45.420107409358025,265.34688461606055
official,Official,55048408,3,1,11788.718,45.42503418400884,259.5202890160957
official,Official,55048408,3,2,11719.37,45.42160911858082,258.0130961323849
official,Official,979986572,0,0,11876.708,45.12893824651837,263.1727769690276
official,Official,979986572,0,1,11919.885,45.09109301865101,264.35121000658785
official,Official,979986572,0,2,11984.39,45.063383135944605,265.9451902189897
official,Official,979986572,1,0,11003.197,45.14579577744007,243.72584003710125
official,Official,979986572,1,1,11027.812,45.15092008933425,244.24335048279644
official,Official,979986572,1,2,11041.482,45.1364920809865,244.6242827242475
official,Official,979986572,2,0,12029.039,45.36913471668959,265.1370601426739
official,Official,979986572,2,1,12101.115,45.369037453085184,266.726289102197
official,Official,979986572,2,2,12152.487,45.296154368668795,268.28959697306743
official,Official,979986572,3,0,11800.545,45.27388076484203,260.6479674515522
official,Official,979986572,3,1,11841.643,45.22249135747552,261.8529551234579
official,Official,979986572,3,2,11907.286,45.19618705287576,263.4577555418441
ls,LS,1884470933,0,0,1053.332,4.5152046121656895,233.2855519242518
ls,LS,1884470933,0,1,1057.189,4.511031273752451,234.3563890038362
ls,LS,1884470933,0,2,1053.645,4.515928585082293,233.31746287586603
ls,LS,1884470933,1,0,979.754,4.516063380986452,216.9486823690217
ls,LS,1884470933,1,1,980.419,4.514796759933233,217.15684052508686
ls,LS,1884470933,1,2,980.547,4.519907437264919,216.93961958507438
ls,LS,1884470933,2,0,1070.769,4.524663537740707,236.65162968883766
ls,LS,1884470933,2,1,1074.242,4.523282904177904,237.491667613313
ls,LS,1884470933,2,2,1070.691,4.524514749646187,236.6421725299331
ls,LS,1884470933,3,0,1050.508,4.519858960062265,232.4205266762413
ls,LS,1884470933,3,1,1053.053,4.5184991136193275,233.05371397019096
ls,LS,1884470933,3,2,1051.892,4.521809011697769,232.62636641193615
ls,LS,55048408,0,0,1001.583,4.504729561507702,222.3403172874993
ls,LS,55048408,0,1,1022.152,4.506100136786699,226.83739130770778
ls,LS,55048408,0,2,1024.175,4.502742398530245,227.45582788264866
ls,LS,55048408,1,0,954.124,4.50856676697731,211.6246801507779
ls,LS,55048408,1,1,952.838,4.51053835824132,211.2470672728113
ls,LS,55048408,1,2,957.518,4.504133749753237,212.58649347445746
ls,LS,55048408,2,0,1049.995,4.517145678400993,232.4465657639989
ls,LS,55048408,2,1,1052.7,4.515455070883036,233.13264853151017
ls,LS,55048408,2,2,1052.877,4.515259899199009,233.1819260695883
ls,LS,55048408,3,0,1015.636,4.518151491880417,224.7901607162138
ls,LS,55048408,3,1,1016.879,4.517552621662617,225.09510904728612
ls,LS,55048408,3,2,1017.688,4.515258707106113,225.38863573827183
ls,LS,979986572,0,0,1060.239,4.510731443762779,235.04813204209864
ls,LS,979986572,0,1,1062.241,4.510224185883999,235.51844791320545
